OBJECTID,NAME,Shape_Length,WEBSITE,MEMBER,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,OVERLAP,TYPE,ONI_ID
1,Northwest Industrial,24323.1184245938,http://nwindustrial.org/,Yes,3165 NW Yeon Ave,,Portland,OR,97210,No,Business District,27
2,Soul District,23854.6496455236,http://www.nnebaportland.org/,Yes,PO Box 11565,<Null>,Portland,OR,97211,Yes,Business District,26
3,Swan Island,16108.6446190851,http://ventureportland.org/business-districts/our-members/swan-island/,No,<Null>,<null>,Portland,OR,<null>,No,Emerging District,
4,Parkrose,33534.5821952374,http://parkrosebusiness.org/,Yes,PO Box 301326,<Null>,Portland,OR,97294,Yes,Business District,28
5,Portland International District,14473.3519959272,None,No,<Null>,<Null>,Portland,OR,<Null>,Yes,Emerging District,
6,Beaumont,4591.80176064904,http://beaumontvillagepdx.com/,Yes,3519 NE 15th Ave ,#540,Portland,OR,97212,No,Business District,2
7,Gateway Area,25451.1623642349,https://gatewaybusiness.org/,Yes,"11124 NE Halsey Street, PMB 478",PMB #478,Portland,OR,97220,Yes,Business District,11
8,Hollywood Boosters,9190.91511673721,http://hollywoodpdx.com/,No,2000 NE 42nd Ave,PMB #388,Portland,OR,97213,Yes,Business District,16
9,Nob Hill,8736.07204604727,http://nwpdxnobhill.com/,Yes,25 NW 23rd Pl,"Suite 6, PMB #217",Portland,OR,97210-5580,Yes,Business District,21
10,Pearl District ,7258.85655842421,http://explorethepearl.com/,Yes,PO Box 6767,,Portland,OR,97228,Yes,Business District,29
11,Lloyd District,7124.41904285637,https://www.lcapdx.org/,Yes,PO Box 6762,<Null>,Portland,OR,97228,Yes,Business District,18
12,Central Eastside Industrial,10703.517795961,http://ceic.cc/,Yes,PO Box 14251,<Null>,Portland,OR,97293-0251,No,Business District,4
13,Montavilla/East Tabor,10642.870466919,https://metba.org/,Yes,PO Box 33342,<Null>,Portland,OR,97292-3342,Yes,Business District,19
14,Belmont Area,12601.1693639786,http://belmontdistrict.org/,Yes,"c/o SE Uplift, 3534 SE Main St", ,Portland,OR,97214,No,Business District,3
15,Hawthorne Boulevard,12891.9840972802,http://hawthornepdx.com/,Yes,PO Box 15271,<Null>,Portland,OR,97293-1271,No,Business District,14
